〇 ling,xing,yuan
㘰 zhen
㘱 tan
㘲 ju
㘴 zuo
㘵 bu
㘶 jie
㘷 ai
㘸 zang,zuo
㘹 ci
㘺 fa
㘿 nie
㙀 jiu,liu
㙁 mei,mu
㙂 dui,weng
㙃 bang
㙄 bi
㙅 bao
㙇 chu
㙈 xia
㙉 tian
㙊 chang,zhang
㙍 duo
㙎 wei
㙏 fu
㙐 duo
㙑 yu
㙒 ye
㙓 kui
㙔 han,wei
㙕 kuai
㙗 wei
㙘 yao
㙙 long
㙚 xing
㙛 bu
㙜 chi
㙝 xie
㙞 nie
㙟 lang
㙠 yi
㙡 zong
㙢 man
㙣 zhang
㙤 xia
㙥 gun
㙦 xie
㙨 ji
㙩 liao
㙪 yi
㙫 ji
㙬 yin
㙮 da
㙯 yi
㙰 xie
㙱 hao
㙲 yong
㙳 han,kan
㙴 chan
㙵 tai
㙶 tang
㙷 zhe,zhi
㙸 bao
㙹 meng
㙺 gui,kui
㙻 chan
㙼 lei
㙾 xi
㚀 xi
㚁 qiao
㚂 nang
㚃 yun
㚅 long
㚆 fu
㚇 zong
㚉 gu
㚊 kai
㚋 diao
㚌 hua
㚍 kui
㚏 gao
㚐 tao
㚒 shan
㚓 lai
㚔 nie,xing
㚕 fu
㚖 gao,ze
㚗 qie
㚘 ban,fu,he
㚙 jia
㚚 kong,kuang
㚛 xi
㚜 xu,yu
㚝 zhui
㚞 shen
㚟 chuo
㚠 xiao
㚡 ji
㚢 nu,wu
㚣 xiao
㚤 yi
㚥 yu
㚦 yi
㚧 yan
㚨 shen
㚩 ran
㚪 hao
㚫 sa
㚬 jun
㚭 you
㚯 xin
㚰 bi,pei
㚱 qiu
㚲 chan,dian
㚴 bu
㚵 dong
㚶 si,yi
㚷 er
㚹 liu,mao
㚺 yun
㚻 ji
㚽 qiao
㚾 xiong
㚿 pao
㛀 chu
㛁 peng
㛂 nuo
㛃 jie
㛄 yi
㛅 er
㛆 duo
㛊 duo
㛍 qie,xia,xian
㛎 lv
㛏 qiu
㛐 sou
㛑 can
㛒 dou
㛓 xi
㛔 feng,peng
㛕 e,yi
㛖 suo
㛗 qie,suo,zuo
㛘 po
㛙 qie,xin
㛚 tong,yong
㛛 xin
㛜 you
㛝 bei
㛞 long
㛣 yun
㛤 li
㛥 ta
㛦 lan
㛧 man
㛨 qiang
㛩 zhou
㛪 yan
㛫 xi
㛬 lu
㛭 xi
㛮 sao
㛯 fan,mian,zhuan
㛱 wei
㛲 fa
㛳 yi
㛴 nao
㛵 cheng
㛶 tan
