〇 ling,xing,yuan
僱 gu
僲 xian
僳 su
僴 xian
僵 jiang
僶 min
僷 ye
僸 jin
價 jia,jie,qia
僺 qiao
僻 pi
僼 feng
僽 zhou
僾 ai
僿 sai
儀 yi
儁 jun
儂 nong
儃 chan,dan,shan,tan,zhan
億 yi
儅 dang
儆 jing
儇 xuan
儈 kuai
儉 jian
儊 chu
儋 dan,shan
儌 jiao
儍 sha
儎 zai
儏 can
儐 bin
儑 an
儒 ru
儓 tai
儔 chou,dao
儕 chai
儖 lan
儗 ai,ni,yi
儘 jin
儙 qian
儚 meng
儛 wu
儜 ning
儝 qiong
儞 ni
償 chang
儠 la,lie
儡 lei
儢 lv
儣 kuang
儤 bao
儥 di,du,yu
儦 biao
儧 zan
儨 zhi
儩 si
優 you
儫 hao
儬 qing
儭 chen,qin
儮 li
儯 teng
儰 wei
儱 long
儲 chu
儳 chan
儴 rang,xiang
儵 shu,tiao
儶 hui,xie
儷 li
儸 luo
儹 zan
儺 nuo
儻 chang,tang
儼 yan
儽 lei,luo
儾 nang
儿 er,ren
兀 wu
允 yuan,yun
兂 zan
元 yuan
兄 kuang,xiong
充 chong
兆 zhao
兇 xiong
先 xian
光 guang
兊 dui
克 ke
兌 dui
免 mian,wan,wen
兎 tu
兏 chang
児 er
兑 dui,duo,rui
兒 er,ni
兓 jin,zan
兔 chan,tu
兕 si
兖 yan
兗 yan
兘 shi
党 dang
兛 qian
兜 dou
兝 fen
兞 mao
兟 shen
兠 dou
兢 jing
兣 li
兤 huang
入 ru
兦 wang
內 nei
全 quan
兩 liang
兪 shu,yu,zhu
八 ba
公 gong
六 liu,lu
兮 xi
兯 han
兰 lan
共 gong,hong
兲 tian
关 guan
兴 xing
兵 bing
其 ji,qi
具 ju
典 dian,tian
兹 ci,zi
兺 fen
养 yang
兼 jian
兽 shou
兾 ji
兿 yi
冀 ji
冁 chan
冂 jiong
冃 mao
冄 ran
内 na,nei,rui
円 yuan
冇 mao
冈 gang
冉 dan,nan,ran
冊 ce
冋 jiong
册 ce,zha
再 zai
冎 gua
冏 jiong
冐 mao
冑 zhou
冒 mao,mo
冓 gou
冔 xu
冕 mian
冖 mi
冗 rong
冘 yin,you
写 xie
冚 kan
军 jun
农 nong
冝 yi
冞 mi
冟 shi
冠 guan
冡 meng
冢 zhong
冣 ju
冤 yuan
冥 mian,ming
冦 kou
冧 lin
冨 fu
冩 xie
冪 mi
冫 bing
冬 dong
冭 tai
冮 gang
冯 feng,ping
冰 bing,ning
冱 hu
冲 chong
决 jue
冴 hu
况 kuang
冶 ye
冷 leng,ling
冸 pan
冹 fu
冺 min
冻 dong
冼 sheng,xian
冽 lie
冾 qia
冿 jian
净 cheng,jing
凁 sou
凂 mei
凃 tu
凄 qi
凅 gu
准 zhun
凇 song
凈 jing
凉 liang
凊 qing
凋 diao
凌 ling
凍 dong
凎 gan
减 jian
凐 yin
凑 cou
凒 ai
凓 li
凔 cang,chuang
凕 ming
凖 zhun
凗 cui
凘 si
凙 duo
凚 jin
凛 lin
凜 lin
凝 ning
凞 xi
凟 du
几 ji
凡 fan
凢 fan
凣 fan
凤 feng
凥 ju
処 chu
凧 zheng
凨 feng
凩 mu
凪 zhi
凫 fu
凬 feng
凭 ping
凮 feng
凯 kai
凰 huang
凱 kai
凲 gan
凳 deng
凴 ping
凵 kan,qian
凶 xiong
凷 kuai
凸 tu
凹 ao,wa
出 chu
击 ji
凼 dang
函 han
凾 han
凿 zao,zuo
刀 dao,diao
刁 diao
刂 dao
刃 ren
刄 ren
刅 chuang
分 fen
切 qi,qie
刈 yi
刉 ji
刊 kan
刋 qian
刌 cun
刍 chu
刎 wen
刏 ji
刐 dan
刑 xing
划 guo,hua,huai
刓 wan
刔 jue
刕 li
刖 yue
列 li,lie
刘 liu
则 ze
刚 gang
创 chuang
刜 fu
初 chu
刞 qu
刟 diao
删 shan
刡 min
刢 ling
刣 zhong
判 pan
別 bie
刦 jie
刧 jie
刨 bao,pao
利 li
刪 shan
别 bie
刬 chan
刭 jing
刮 gua
刯 geng
到 dao
刱 chuang
刲 kui
刳 kou,ku
刴 duo
刵 er
制 zhi
刷 shua
券 quan,xuan
刹 cha,sha
刺 ci,qi
刻 ke,kei
刼 jie
刽 gui
刾 ci
刿 gui
剀 kai
剁 duo
剂 ji
剃 ti
剄 jing
剅 dou,lou
剆 luo
則 ze
剈 yuan
剉 cuo
削 qiao,shao,xiao,xue
剋 ke,kei
剌 la
前 jian,qian
剎 sha
剏 chuang
剐 gua
剑 jian
剒 cuo
剓 li
剔 ti
剕 fei
剖 po,pou
剗 chan
剘 qi
剙 chuang
剚 zi
剛 gang
剜 wan
剝 bo
剞 ji
剟 chi,duo
剠 lve,qing
剡 shan,yan
剢 du,zhuo
剣 jian
剤 ji
剥 bao,bo,pu
剦 yan
剧 ju
剨 huo
剩 sheng
剪 jian
剫 du,duo
剬 duan,tuan,zhi
剭 wu
剮 gua
副 fu,pi
剰 sheng
剱 jian
割 ge
剳 da,zha
剴 ai,kai
創 chuang,qiang
剶 chuan
剷 chan
剸 tuan,zhuan
剹 jiu,lu
剺 li
剻 peng
剼 shan
剽 biao,piao
剾 kou
剿 chao,jiao
劀 gua
劁 qiao
劂 jue
劃 hua,huai
劄 zha
劅 zhuo
劆 lian
劇 ju
劈 pi
劉 liu
劊 gui
劋 chao,jiao
劌 gui
劍 jian
劎 jian
劏 tang
劐 hua,huo
劑 ji
劒 jian
劓 yi
劔 jian
劕 zhi
劖 chan
劗 jian,zuan
劘 mi,mo
劙 li
劚 zhu
力 li
劜 ya
劝 quan
办 ban
功 gong
加 jia
务 wu
劢 mai
劣 lie
劤 jin
劥 keng
劦 lie,xie
劧 zhi
动 dong
助 chu,zhu
努 nu
劫 jie
劬 qu
劭 shao
劮 yi
劯 zhu
劰 mo
励 li
劲 jin,jing
劳 lao
労 lao
劵 juan
劶 kou
劷 yang
劸 wa
効 xiao
劺 mou
劻 kuang
劼 jie
劽 lie
劾 he,kai
势 shi
勀 ke
勁 jin,jing
勂 gao
勃 bo
勄 min
勅 chi
勆 lang
勇 yong
勈 yong
勉 mian
勊 ke
勋 xun
勌 juan
勍 qing
勎 lu
勏 bu
勐 meng
勑 chi,lai
勒 le,lei
勓 kai
勔 mian
動 dong
勖 mao,xu
勗 xu
勘 kan
務 mao,wu
勚 yi
勛 xun
勜 weng,yang
勝 sheng
勞 lao,liao
募 bo,mu
勠 lu
勡 piao
勢 shi
勣 ji
勤 qi,qin
勥 jiang,qiang
勦 chao,jiao
勧 quan
勨 xiang
勩 yi
勪 jue
勫 fan
勬 juan
勭 dong,tong
勮 ju
勯 dan
勰 xie
勱 mai
勲 xun
勳 xun
勴 lv
勵 li
勶 che
勷 rang,xiang
勸 quan
勹 bao
勺 di,shao,shuo,zhuo
勻 yun
勼 jiu
勽 bao
勾 gou
勿 mo,wu
匀 jun,yun
匁 wen
匂 xiong
匃 gai
匄 gai
包 bao,fu,pao
匆 cong
匇 yi
匈 xiong
匉 peng
匊 ju
匋 tao,yao
匌 ge
匍 pu
匎 e
匏 pao
匐 fu
匑 gong
匒 da
匓 jiu
匔 gong
匕 bi,pin
化 hua,huo
北 bei
匘 nao
匙 chi,shi
匚 fang
匛 jiu
匜 yi
匝 za
匞 jiang
匟 kang
匠 jiang
匡 kuang,wang
匢 hu
匣 xia
匤 qu
匥 fan
匦 gui
匧 qie
匨 cang,zang
匩 kuang
匪 fei,fen
匫 hu
匬 yu
匭 gui
匮 gui,kui
匯 hui
匰 dan
匱 gui,kui
匲 lian
匳 lian
匴 suan
匵 du
匶 jiu
匷 jue
匸 xi
匹 pi
区 ou,qu
医 yi
匼 an,e,ke
匽 yan
匾 bian
匿 ni,te
區 gou,kou,ou,qiu,qu
十 shi
卂 xun
千 qian
卄 nian
卅 sa
卆 zu
升 sheng
午 wu
卉 hui
半 ban,pan
卋 shi
卌 xi
卍 wan
华 hua
协 xie
卐 wan
卑 ban,bei,bi,pi
卒 cu,cui,zu
卓 zhuo
協 xie
单 chan,dan,shan
卖 mai
南 na,nan
単 dan
卙 chi,ji
博 bo
卛 shuai
卜 bo,bu,pu
卝 guan,kuang
卞 bian,pan
卟 bu,ji
占 tie,zhan
卡 ka,qia
卢 lu
卣 you
卤 lu,xi
卥 xi
卦 gua
卧 wo
卨 xie
卩 jie
卪 jie
卫 wei
卬 ang,yang
卭 qiong
卮 zhi
卯 mao
印 yi,yin
危 wei
卲 shao
即 ji
却 que
卵 kun,luan
卶 chi
卷 gun,juan,jun,quan
卸 xie
卹 su,xu
卺 jin
卻 jiao,que,xi
卼 wu
卽 ji
卾 e
卿 qing
厀 xi
厁 san
厂 an,chang,han,yan
厃 wei,yan
厄 e
厅 ting
历 li
厇 zhai,zhe
厈 an,han
厉 li
厊 ya
压 ya
厌 yan
厍 she
厎 di,zhi
厏 zha,zhai
厐 pang
厑 ya
厒 qie
厓 ai,ya
厔 shi,zhi
厕 ce,si
厖 mang,pang
厗 ti
厘 chan,li
厙 she
厚 hou
厛 ting
厜 zui
厝 cuo,ji
厞 fei
原 yuan
厠 ce
厡 yuan
厢 xiang
厣 yan
厤 li
厥 jue
厦 sha,xia
厧 dian
厨 chu
厩 jiu
厪 jin
厫 ao
厬 gui
厭 ya,yan,yi
厮 si
厯 li
厰 chang
厱 lan,qian
厲 lai,li
厳 yan
厴 yan
厵 yuan
厶 mou,si
厷 gong,hong
厸 lin,min
厹 qiu,rou
厺 qu
去 qu
厼 er
厽 lei
厾 du
县 xian
叀 hui,zhuan
叁 san
参 can,cen,shen
參 can,cen,san,shen
叄 can
叅 can
叆 ai
叇 dai
又 you
叉 cha
及 ji
友 you
双 shuang
反 fan
収 shou
叏 guai
叐 ba
发 fa
叒 ruo
叓 li,shi
叔 shu
叕 jue,li,yi,zhuo
取 qu
受 dao,shou
变 bian
叙 xu
叚 jia,xia
叛 pan
叜 sou
叝 ji
叞 wei
叟 sou,xiao
叠 die
叡 rui
叢 cong
口 kou
古 gu,ku
句 gou,ju,qu
另 ling
叧 gua
叨 dao,tao
叩 kou
只 zhi
叫 jiao
召 shao,zhao
叭 ba,pa
叮 ding
可 ge,ke
台 si,tai,yi
叱 chi,e,hua
史 shi
右 you
叴 qiu
叵 po
叶 xie,ye
号 hao,xiao
司 ci,si
叹 tan,yi,you
叺 chi
叻 le,li
叼 diao
叽 ji,jiao
叾 liao
叿 hong
吀 mie
吁 xu,yu
吂 mang
吃 chi,qi
各 ge
吅 song,xuan
吆 yao
吇 ji,zi
合 ge,he
吉 ji
吊 diao
吋 cun,dou,ying
同 tong
名 ming
后 hou
吏 li
吐 tu
向 xiang
吒 zha
吓 ha,he,xia
吔 ye
吕 lv
吖 a,ya
吗 ma
吘 ou
吙 huo
吚 xi,yi
君 jun
吜 chou
吝 lin
吞 tian,tun
吟 jin,yin
吠 fei
吡 bi,pi
吢 qin
吣 qin
吤 ge,jie,xie
吥 bu,pou
否 fou,pi
吧 ba,pa
吨 dun,tun
吩 fen,pen
吪 e,hua
含 han
听 ting,yi,yin
吭 hang,keng
吮 shun
启 qi
吰 hong
吱 qi,zhi,zi
吲 shen,yin
吳 wu,yu
吴 tun,wu
吵 chao,miao
吶 na
吷 chuo,jue,xue
吸 xi
吹 chui
吺 dou,ru
吻 wen
吼 hou
吽 hong,hou,ou
吾 wu,ya,yu
吿 gao
呀 xia,ya
呁 jun
呂 lv
呃 ai,e
呄 ge
呅 mei,wen
呆 ai,bao,dai
呇 men,qi
呈 cheng,kuang
呉 wu
告 gao,gu,ju
呋 fu
呌 jiao
呍 hong
呎 chi,ying
呏 sheng
呐 na,ne,nuo
呑 tun
呒 m,wu
呓 yi
呔 dai,tai
呕 ou
呖 li
呗 bai,bei
员 yuan,yun
呙 guo
呚 wen
呛 qiang
呜 wu
呝 e
呞 shi
呟 juan
呠 pen
呡 min,wen
呢 ne,ni
呣 m,mou
呤 ling
呥 ran
呦 you
呧 di
周 zhou
呩 shi
呪 zhou
呫 che,tie
呬 chi,xi
呭 yi
呮 qi,zhi
呯 ping
呰 ci,ji,xi,zi
呱 gu,gua
呲 ci,zi
味 mei,wei
呴 gou,gu,hou,xu
呵 a,ha,he,huo,ke
呶 na,nao,nu
呷 ga,jia,xia
呸 pei
呹 chi,yi
呺 hao,xiao
呻 shen
呼 he,hu,xia,xiao,xu
命 ming
呾 da,dan,ta,ya
呿 ka,qu
咀 ju,zui
咁 gan,han,xian
咂 za
咃 tuo
咄 duo
咅 pou
咆 pao
咇 bi,bie
咈 fu
咉 yang
咊 he
咋 za,ze,zha
和 he,hu,huo
咍 hai,tai
咎 gao,jiu
咏 yong
咐 fu
咑 da
咒 zhou
咓 wa
咔 ka,nong
咕 gu
咖 ga,jia,ka
咗 zuo
咘 bu
咙 long
咚 dong
咛 ning
咜 ta
咝 si
咞 xian
咟 huo
咠 qi
咡 er
咢 e
咣 gong,guang
咤 zha
咥 die,xi,zhi
咦 xi,yi
咧 lie
咨 zi
咩 mie
咪 mai,mi,mie
咫 zhi
咬 jiao,yao
咭 ji,qia,xi
咮 ru,zhou,zhu
咯 ge,ka,lo,luo
咰 shu,xun
咱 za,zan
咲 xiao
咳 gai,hai,ke
咴 hai,hui
咵 kua
咶 gua,guo,hua,huai,shi
咷 tao,tiao
咸 jian,xian
咹 an,e,n
咺 xuan
咻 xiao,xiu,xu
咼 gua,guo,he,wai,wo
咽 yan,ye,yuan
咾 lao
咿 yi
哀 ai
品 pin
哂 shen
哃 tong
哄 hong
哅 hong,xiong
哆 chi,die,duo,zha
哇 gui,hua,wa
哈 ha,he,sha,ta
哉 zai
哊 you
哋 di,die
哌 gu,pai
响 xiang
哎 ai
哏 gen,hen,n
哐 kuang,qiang
哑 ya
哒 da
哓 xiao
哔 bi
哕 hui,yue
哖 nian
哗 hua
哘 xing
哙 kuai
哚 duo
哛 fen
哜 ji
哝 nong
哞 mou
哟 yo
哠 hao
員 yuan,yun
哢 long
哣 pou
哤 mang
哥 ge
哦 e,o
哧 chi,he,xia
哨 sao,shao,xiao
哩 li,mai,ying
哪 na,nai,ne,nei,nie,nuo
哫 zu
哬 he
哭 ku
哮 xiao,xue
哯 xian
哰 lao
哱 ba,bei,bo,po
哲 zhe
哳 zha
哴 lang,liang
哵 ba
哶 mie
哷 lie,lv
哸 sui
哹 fu
哺 bu,fu
哻 han
哼 heng,hng
哽 geng,n,ng,ying
哾 shuo,yue
哿 ge
唀 you
唁 yan
唂 gu
唃 gu
唄 bai,bei
唅 han
唆 shua,suo
唇 chun,zhen
唈 yi
唉 ai
唊 jia,qian
唋 tu
唌 dan,xian,yan
唍 wan
唎 li
唏 xi,xie
唐 tang
唑 shi,zuo
唒 qiu
唓 che
唔 m,n,ng,wu
唕 zao
唖 ya
唗 dou
唘 qi
唙 di
唚 qin
唛 ma,mai
唜 mo
唝 gong,hong
唞 dou
唟 qu
唠 lao
唡 liang,ying
唢 suo
唣 zao
唤 huan
唥 lang
唦 sha
唧 ji,jie
唨 zu
唩 wei,wo
唪 beng,feng
唫 jin,yin
唬 guo,hao,hu,xia,xiao
唭 qi
售 shou,shu
唯 wei
唰 shua
唱 chang
唲 er,wa
唳 li
唴 qiang
唵 an,n,ng
唶 jie,ze
唷 yo,yu
唸 dian,nian
唹 yu
唺 tian
唻 lai
唼 qie,sha
唽 xi
唾 tuo
唿 hu
啀 ai
啁 dao,diao,tiao,zhao,zhou
啂 nou
啃 ken
啄 zhou,zhuo
啅 zhao,zhuo
商 shang
啇 di,shi,zhai
啈 e,heng,za
啉 lan,len,lin
啊 a,e
啋 cai,xiao
啌 qiang,xiang
啍 dui,tui,tun,xiang,zhun
啎 wu
問 wen
啐 chuai,cui,e,za,zu
啑 die,jie,sha,ti,za
啒 gu
啓 qi
啔 qi
啕 tao
啖 dan
啗 dan
啘 wa,ye
啙 ci,zi
啚 bi,tu
啛 cui
啜 chuai,chuo,zhuo
啝 he
啞 e,ya
啟 qi
啠 zhe
啡 bai,fei,pai,pei
啢 liang,ying
啣 xian
啤 pi
啥 sha
啦 la
啧 ze
啨 qing,ying
啩 gua
啪 pa
啫 zhe
啬 se
啭 zhuan
啮 nie
啯 guo
啰 luo
啱 yan
啲 di
啳 jue,quan
啴 chan,tan
啵 bo
啶 ding
啷 lang
啸 xiao
啹 ju
啺 tang
啻 chi,di
啼 ti
啽 an
啾 jiu
啿 dan
喀 ka,ke
喁 yong,yu
喂 wei
喃 nan
善 shan
喅 yu
喆 zhe
喇 la
喈 jie,xie
喉 hou
喊 han,jian,kan
喋 die,qie,zha
喌 zhou
喍 chai
喎 wai
喏 nuo,re
喐 yu
喑 yin
喒 za,zan
喓 yao
喔 o,wo,wu
喕 mian
喖 hu
喗 yun
喘 chuan
喙 hui,zhou
喚 huan
喛 he,huan,xuan,yuan
喜 chi,xi
喝 he,kai,ye
喞 ji
喟 huai,kui
喠 chong,zhong
喡 wei
喢 che,sha
喣 xu
喤 huang
喥 duo,zha
喦 nie,yi
喧 xuan
喨 liang
喩 yu
喪 sang
喫 chi,kai
喬 jiao,qiao
喭 yan
單 chan,dan,shan,tan,zhan
喯 ben,pen
喰 can,qi,sun
喱 li
喲 yo
喳 cha,zha
喴 wei
喵 miao
営 ying
喷 pen
喸 bu
喹 kui
喺 xi
喻 yu
喼 jie
喽 lou
喾 ku
喿 qiao,zao
嗀 hu
嗁 ti
嗂 yao
嗃 he,hu,xiao
嗄 a,sha,xia
嗅 xiu
嗆 cheng,qiang
嗇 se
嗈 yong
嗉 su
嗊 gong,hong
嗋 xie
嗌 ai,wo,yi
嗍 shuo,suo
嗎 ma
嗏 cha
嗐 hai
嗑 he,ke,xia
嗒 da,ta
嗓 sang
嗔 chen,tian
嗕 ru
嗖 sou,su
嗗 gu,wa
嗘 ji
嗙 bang,beng,pang
嗚 wu
嗛 qian,qie,xian
嗜 shi
嗝 ge
嗞 zi
嗟 jie,jue
嗠 lao
嗡 weng
嗢 wa
嗣 si
嗤 chi
嗥 hao
嗦 suo
嗨 hai,hei
嗩 suo
嗪 qin
嗫 nie
嗬 he
嗭 zhi
嗮 sai
嗯 n,ng
嗰 ge
嗱 na
嗲 dia,die
嗳 ai
嗴 qiang
嗵 tong
嗶 bi
嗷 ao
嗸 ao
嗹 lian
嗺 sui,zui
嗻 zhe,zhu
嗼 mo
嗽 shu,shuo,sou
嗾 sou
嗿 tan
嘀 di,zhe
嘁 qi,za,zu
嘂 jiao
嘃 chong
嘄 dao,jiao
嘅 ge,kai
嘆 tan
嘇 can,shan,shen
嘈 cao
嘉 jia
嘊 ai
嘋 xiao
嘌 piao
嘍 lou
嘎 ga
嘏 gu,jia
嘐 bao,jiao,lao,miu,xiao
嘑 hu
嘒 hui
嘓 guo
嘔 chu,ou,xu
嘕 xian
嘖 ze
嘗 chang
嘘 shi,xu
嘙 po
嘚 dai,de,dei
嘛 ma
嘜 ma
嘝 hu
嘞 le,lei
嘟 du
嘠 ga
嘡 tang
嘢 ye
嘣 beng
嘤 ying
嘥 sai
嘦 jiao
嘧 mi
嘨 xiao
嘩 hua
嘪 mai
嘫 ran
嘬 chuai,zuo
嘭 peng
嘮 chao,lao,xiao
嘯 chi,xiao
嘰 ji
嘱 zhu
嘲 chao,zhao
嘳 kui
嘴 zui
嘵 xiao
嘶 si
嘷 hao
嘸 fu,m,wu
嘹 liao
嘺 qiao
嘻 xi
嘼 chu,shou,xu
嘽 chan,dan,tan,tuo
嘾 dan,tan
嘿 hei,mo,mu
噀 xun
噁 e,wo,wu
噂 zun
噃 bo,fan
噄 chi
噅 hui
噆 can,zan
噇 chuang
噈 cu,he,za
噉 dan
噊 yu
噋 kuo,tun
噌 ceng,cheng
噍 jiao,jiu
噎 sha,ye,yi
噏 xi
噐 qi
噑 hao
噒 lian
噓 xu
噔 deng
噕 hui
噖 yin
噗 pu
噘 jue
噙 qin
噚 xun
噛 nie
噜 lu
噝 si
噞 yan
噟 ying
噠 da
噡 dan,zhan
噢 ao,o,yu
噣 du,zhou,zhu,zhuo
噤 jin
噥 nang,nong
噦 hui,yue
噧 xie
器 qi
噩 e
噪 zao
噫 ai,yi
噬 shi
噭 chi,jiao,qiao
噮 yuan
噯 ai
噰 yong
噱 jue,xue
噲 guai,kuai,kuo,wei
噳 yu
噴 fen,pen
噵 dao
噶 ga,ge
噷 hen,hm,xin
噸 dun
噹 dang
噺 xin
噻 sai
噼 pi
噽 pi
噾 yin
噿 zui
嚀 ning
嚁 di
嚂 han,lan
嚃 ta
嚄 huo,o,wo
嚅 ru
嚆 hao
嚇 he,xia
嚈 ye
嚉 duo
嚊 pi,xi,xiu
嚋 chou,zhou
嚌 ji,jie,zhai
嚍 jin
嚎 hao
嚏 ti
嚐 chang
嚑 xun
嚒 me
嚓 ca,cha
嚔 ti,zhi
嚕 lu
嚖 hui
嚗 bao,bo,pao
嚘 you
嚙 nie,yao
嚚 yin
嚛 hu,yo
嚜 ma,me,mei
嚝 hong
嚞 zhe
嚟 li
嚠 liu
嚡 hai
嚢 nang
嚣 ao,xiao
嚤 mo
嚥 yan
嚦 li
嚧 lu
嚨 long
嚩 mo
嚪 dan
嚫 chen
嚬 pin
嚭 pi
嚮 xiang
嚯 huo,xue
嚰 mo
嚱 xi
嚲 duo
嚳 ku
嚴 yan
嚵 chan
嚶 ying
嚷 rang
嚸 dian
嚹 la
嚺 ta
嚻 xiao
嚼 jiao,jue
嚽 chuo
嚾 huan
嚿 huo
囀 zhuan
囁 nie,zhe
囂 ao,xiao
囃 ca,za,zha
囄 li
囅 chan
囆 chai
囇 li
囈 yi
囉 luo
囊 nang
囋 can,za,zan
囌 su
囍 xi
囎 zen
囏 jian
囐 e,nie,yan,za
囑 zhu
囒 lan
囓 nie
囔 nang
囕 lan
囖 lo
囗 guo,wei
囘 hui
囙 yin
囚 qiu
四 si
囜 nin
囝 jian,nan,yue
回 hui
囟 xin
因 yin
囡 nan,nie
团 qiu,tuan
団 tuan
囤 dun,tun
囥 kang
囦 yuan
囧 jiong
囨 pian
囩 yun
囪 cong
囫 hu
囬 hui
园 wan,yuan
囮 e
囯 guo
困 kun
囱 chuang,cong
囲 tong
図 tu
围 wei
囵 lun
囶 guo
囷 qun
囸 ri
囹 ling
固 gu
囻 guo
囼 tai
国 guo
图 tu
囿 you
圀 guo
圁 yin
圂 huan,hun
圃 pu
圄 yu
圅 han
圆 yuan
圇 lun
圈 juan,quan
圉 yu
圊 qing
國 guo
圌 chuan,chui
圍 wei
圎 yuan
圏 quan
圐 ku
圑 pu
園 yuan
圓 yuan
圔 ya
圕 tu
圖 tu
圗 tu
團 chuan,tuan
圙 lve
圚 hui
圛 yi
圜 huan,yuan
圝 luan
圞 luan
土 cha,du,tu
圠 ya
圡 tu
圢 ting
圣 ku,sheng
圤 pu
圥 lu
圦 kuai
圧 ya
在 zai
圩 wei,xu,yu
圪 ge,yi
圫 tuo,yu,zhun
圬 wu
圭 gui
圮 pi
圯 yi
地 de,di
圱 qian,su
圲 qian
圳 chou,huai,quan,zhen
圴 zhuo
圵 dang
圶 qia
圷 xia
圸 shan
圹 kuang
场 chang
圻 qi,yin
圼 nie
圽 mo
圾 ji,jie
圿 jia
址 zhi
坁 zhi
坂 ban
坃 xun
坄 yi
坅 qin
坆 fen,mei
均 jun,yun
坈 keng,rong
坉 dun,tun
坊 fang
坋 ben,fen
坌 ben
坍 tan
坎 kan
坏 huai,pei,pi
坐 zuo
坑 kang,keng
坒 bi
坓 jing,xing
坔 di,lan
坕 jing
坖 ji
块 kuai,yue
坘 di
坙 jing
坚 jian
坛 tan
坜 li
坝 ba
坞 wu
坟 fen
坠 zhui
坡 po
坢 ban,pan
坣 tang
坤 kun
坥 ju,qu
坦 tan
坧 zhi
坨 tuo,yi
坩 gan
坪 ping
坫 dian,zhen
坬 gua,wa
坭 ni
坮 tai
坯 huai,pi
坰 jiong
坱 yang
坲 fo
坳 ao,you
坴 lu
坵 qiu
坶 mei,mu
坷 jiong,ke
坸 gou
坹 xue
坺 ba
坻 chi,di
坼 che
坽 ling
坾 zhu
坿 fu
垀 hu
垁 zhi
垂 chui,zhui
垃 la
垄 long
垅 long
垆 lu
垇 ao
垈 dai
垉 pao
垊 min
型 xing
垌 dong,tong
垍 ji
垎 he
垏 lv
垐 ci
垑 chi
垒 lei
垓 gai
垔 yin
垕 hou
垖 dui
垗 zhao
垘 fu
垙 guang
垚 yao
垛 duo
垜 duo
垝 gui
垞 cha
垟 yang
垠 ken,yin
垡 fa
垢 gou
垣 yuan
垤 die
垥 xie
垦 ken,yin
垧 jiong,shang
垨 shou
垩 e,sheng
垪 bing
垫 dian
垬 hong
垭 ya
垮 kua
垯 da
垰 ka
垱 dang
垲 kai
垳 hang
垴 nao
垵 an
垶 xing
垷 xian
垸 huan,yuan
垹 bang
垺 fou,fu,pei,pou
垻 ba,bei
垼 yi
垽 yin
垾 an,han
垿 xu
埀 chui
埁 qin
埂 geng
埃 ai,zhi
埄 beng,feng
埅 di,fang
埆 jue,que
埇 yong
埈 jun
埉 jia,xia
埊 di
埋 mai,man
埌 lang
埍 juan
城 cheng
埏 shan,yan
埐 jin,qin
埑 zhe
埒 lie
埓 lie
埔 bu,pu
埕 cheng
埖 hua
埗 bu
埘 shi
埙 xun
埚 guo
埛 jiong
埜 ye
埝 dian,nian,nie
埞 di
域 yu
埠 bu
埡 e,wu,ya
埢 juan,quan
埣 su,sui
埤 bei,bi,pi
埥 qing,zheng
埦 wan
埧 ju
埨 lun
埩 cheng,zheng
埪 kong
埫 chong,shang,tang
埬 dong
埭 dai
埮 tan
埯 an,yan
埰 cai
埱 chu,tou
埲 bang,beng
埳 kan,xian
埴 zhi
埵 duo
埶 shi,yi
執 zhi
埸 yi
培 pei,pi,pou
基 ji
埻 dui,guo,zhun
埼 qi
埽 sao
埾 ju
埿 ban,ni
堀 ku
堁 ke
堂 tang
堃 kun
堄 ni
堅 jian
堆 dui,zui
堇 jin,qin
堈 gang
堉 yu
堊 e,ya
堋 beng,peng,ping
堌 gu
堍 tu
堎 leng
堏 fang
堐 ya
堑 qian
堒 kun
堓 an
堔 shen
堕 duo,hui
堖 nao
堗 tu
堘 cheng
堙 yin
堚 hun
堛 bi
堜 lian
堝 guo,wo
堞 die
堟 zhuan
堠 hou
堡 bao,bu,pu
堢 bao
堣 yu
堤 di,shi,ti,wei
堥 mao,mou,wu
堦 jie
堧 nuo,ruan
堨 ai,e,ye
堩 geng
堪 chen,kan
堫 zong
堬 yu
堭 huang
堮 e
堯 yao
堰 yan
報 bao,fu
堲 ci,ji
堳 mei
場 chang,dang,shang
堵 du,zhe
堶 tuo
堷 pou,yin
堸 feng
堹 zhong
堺 jie
堻 jin
堼 heng
堽 gang
堾 chun
堿 jian,kan,xian
塀 ping
塁 lei
塂 jiang,xiang
塃 huang
塄 leng
塅 duan
塆 wan
塇 xuan
塈 ji,xi
塉 ji
塊 kuai
塋 ying
塌 da,ta
塍 cheng
塎 yong
塏 kai
塐 su
塑 su
塒 shi
塓 mi
塔 da,ta
塕 weng
塖 cheng
塗 du,tu
塘 tang
塙 qiao,que
塚 zhong
塛 li
塜 peng,zhong
塝 bang
塞 sai,se
塟 zang
塠 dui
塡 tian
塢 wu
塣 zheng
塤 xun
塥 ge
塦 zhen
塧 ai
塨 gong
塩 yan
塪 kan
填 chen,tian,zhen
塬 yuan
塭 wen
塮 xie
塯 liu
塰 hai
塱 lang
塲 chang,shang
塳 peng
塴 beng
塵 chen
塶 lu
塷 lu
塸 ou
塹 jian,qian
塺 mei
塻 mo
塼 tuan,zhuan
塽 shuang
塾 shu
塿 lou
墀 chi
墁 man
墂 biao
境 jing
墄 ce
墅 shu,ye
墆 di,zhi
墇 zhang
墈 kan
墉 yong
墊 dian
墋 chen
墌 zhi,zhuo
墍 xi
